"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR026473","ERR026474","ERR026478","ERR026481","ERR026482","ERR029206","ERR029207"
"bamB","","Outer membrane protein assembly factor BamB","7","7","1","12","87","","","","1007","1007","1007","IABJFMEL_00756","FNKIIBCC_00703","KLCLGNMD_01340","LJFBHMDO_00717","FJKEEGCC_00745","LCKBFCAL_01079","GLGINFII_01217"
"group_101","","hypothetical protein","7","7","1","6","137","","","","1568","1697","1591","IABJFMEL_01008","FNKIIBCC_00946","KLCLGNMD_01279","LJFBHMDO_01242","FJKEEGCC_00963","LCKBFCAL_01204","GLGINFII_01955"
"dnaG","","DNA primase","7","7","1","2","345","","","","1919","1919","1919","IABJFMEL_00662","FNKIIBCC_00609","KLCLGNMD_00377","LJFBHMDO_02919","FJKEEGCC_02776","LCKBFCAL_00011","GLGINFII_00328"
"group_1011","","putative PPE family protein PPE51","7","7","1","20","46","","","","788","788","788","IABJFMEL_01586","FNKIIBCC_01674","KLCLGNMD_01951","LJFBHMDO_01770","FJKEEGCC_01635","LCKBFCAL_02015","GLGINFII_02218"
"purD","","Phosphoribosylamine--glycine ligase","7","7","1","21","26","","","","1268","1268","1268","IABJFMEL_01927","FNKIIBCC_02010","KLCLGNMD_02339","LJFBHMDO_02758","FJKEEGCC_02632","LCKBFCAL_02633","GLGINFII_02799"
"moaC2","","Cyclic pyranopterin monophosphate synthase 2","7","7","1","1","215","","","","503","503","503","IABJFMEL_02768","FNKIIBCC_02700","KLCLGNMD_00009","LJFBHMDO_01085","FJKEEGCC_02587","LCKBFCAL_02888","GLGINFII_02720"
"group_1014","","Toxin","7","7","1","10","77","","","","431","431","431","IABJFMEL_00377","FNKIIBCC_00337","KLCLGNMD_01050","LJFBHMDO_01476","FJKEEGCC_01333","LCKBFCAL_00761","GLGINFII_00954"
"fadI","","3-ketoacyl-CoA thiolase","7","7","1","1","152","","","","1322","1322","1322","IABJFMEL_03025","FNKIIBCC_02150","KLCLGNMD_00167","LJFBHMDO_00035","FJKEEGCC_00128","LCKBFCAL_02295","GLGINFII_00129"
"group_1016","","hypothetical protein","7","7","1","18","3","","","","608","608","608","IABJFMEL_01268","FNKIIBCC_01228","KLCLGNMD_01689","LJFBHMDO_01378","FJKEEGCC_01255","LCKBFCAL_01889","GLGINFII_01971"
"group_1017","","hypothetical protein","7","7","1","11","91","","","","521","521","521","IABJFMEL_01868","FNKIIBCC_02837","KLCLGNMD_01779","LJFBHMDO_02336","FJKEEGCC_02916","LCKBFCAL_00932","GLGINFII_02128"
"group_1018","","Serine protease","7","7","1","40","11","","","","1202","1202","1202","IABJFMEL_03374","FNKIIBCC_03387","KLCLGNMD_03280","LJFBHMDO_03410","FJKEEGCC_03224","LCKBFCAL_03386","GLGINFII_03388"
"bbsG","","(R)-benzylsuccinyl-CoA dehydrogenase","7","7","1","1","583","","","","1343","1343","1343","IABJFMEL_00103","FNKIIBCC_00119","KLCLGNMD_00046","LJFBHMDO_00155","FJKEEGCC_00008","LCKBFCAL_00435","GLGINFII_00008"
"group_102","","PPE family protein PPE34","7","7","1","5","85","","","","434","446","442","IABJFMEL_01056","FNKIIBCC_03492","KLCLGNMD_03563","LJFBHMDO_03493","FJKEEGCC_00258","LCKBFCAL_03684","GLGINFII_03701"
"group_1020","","Epoxide hydrolase B","7","7","1","1","586","","","","392","392","392","IABJFMEL_00106","FNKIIBCC_00122","KLCLGNMD_00049","LJFBHMDO_00152","FJKEEGCC_00011","LCKBFCAL_00438","GLGINFII_00011"
"corA","","Cobalt/magnesium transport protein CorA","7","7","1","3","163","","","","1100","1100","1100","IABJFMEL_02233","FNKIIBCC_03080","KLCLGNMD_02644","LJFBHMDO_00665","FJKEEGCC_03101","LCKBFCAL_03344","GLGINFII_01641"
"pgm","","Phosphoglucomutase","7","7","1","12","54","","","","1643","1643","1643","IABJFMEL_00722","FNKIIBCC_00669","KLCLGNMD_01374","LJFBHMDO_00751","FJKEEGCC_00779","LCKBFCAL_01045","GLGINFII_01251"
"catC","","Muconolactone Delta-isomerase","7","7","1","14","88","","","","614","614","614","IABJFMEL_02538","FNKIIBCC_02585","KLCLGNMD_02933","LJFBHMDO_02801","FJKEEGCC_02713","LCKBFCAL_02990","GLGINFII_03047"
"group_1024","","hypothetical protein","7","7","1","20","40","","","","314","314","314","IABJFMEL_01592","FNKIIBCC_01680","KLCLGNMD_01957","LJFBHMDO_01776","FJKEEGCC_01641","LCKBFCAL_02009","GLGINFII_02212"
"hemA","","Glutamyl-tRNA reductase","7","7","1","4","7","","","","1406","1406","1406","IABJFMEL_03006","FNKIIBCC_02988","KLCLGNMD_03161","LJFBHMDO_03074","FJKEEGCC_03818","LCKBFCAL_00887","GLGINFII_00513"
"group_1026","","Long-chain-fatty-acid--CoA ligase FadD17","7","7","1","15","5","","","","1598","1598","1598","IABJFMEL_03139","FNKIIBCC_03165","KLCLGNMD_03301","LJFBHMDO_03175","FJKEEGCC_03207","LCKBFCAL_01255","GLGINFII_01458"
"group_1027","","hypothetical protein","7","7","1","1","107","","","","1730","1730","1730","IABJFMEL_00205","FNKIIBCC_02169","KLCLGNMD_00148","LJFBHMDO_00054","FJKEEGCC_00109","LCKBFCAL_00539","GLGINFII_00110"
"group_1028","","hypothetical protein","7","7","1","16","8","","","","215","215","215","IABJFMEL_03515","FNKIIBCC_03582","KLCLGNMD_03669","LJFBHMDO_03593","FJKEEGCC_03568","LCKBFCAL_01664","GLGINFII_01692"
"lldD","","Putative L-lactate dehydrogenase","7","7","1","5","150","","","","1244","1244","1244","IABJFMEL_01105","FNKIIBCC_01599","KLCLGNMD_02037","LJFBHMDO_01980","FJKEEGCC_00306","LCKBFCAL_02140","GLGINFII_02345"
"aao","","putative D-amino-acid oxidase","7","7","1","5","97","","","","935","962","942","IABJFMEL_01069","FNKIIBCC_03480","KLCLGNMD_03575","LJFBHMDO_03481","FJKEEGCC_00270","LCKBFCAL_03671","GLGINFII_03713"
"coaA","","Pantothenate kinase","7","7","1","23","3","","","","938","938","938","IABJFMEL_02100","FNKIIBCC_02255","KLCLGNMD_02592","LJFBHMDO_02538","FJKEEGCC_02282","LCKBFCAL_02608","GLGINFII_02732"
"group_1031","","putative FAD-linked oxidoreductase","7","7","1","2","251","","","","1589","1589","1589","IABJFMEL_00919","FNKIIBCC_00891","KLCLGNMD_00281","LJFBHMDO_00965","FJKEEGCC_00836","LCKBFCAL_00106","GLGINFII_00233"
"group_1032","","hypothetical protein","7","7","1","10","54","","","","449","449","449","IABJFMEL_00354","FNKIIBCC_00314","KLCLGNMD_01027","LJFBHMDO_01453","FJKEEGCC_01310","LCKBFCAL_00784","GLGINFII_00977"
"rpsH","","30S ribosomal protein S8","7","7","1","3","52","","","","398","398","398","IABJFMEL_02865","FNKIIBCC_02894","KLCLGNMD_03083","LJFBHMDO_02970","FJKEEGCC_02982","LCKBFCAL_03199","GLGINFII_01669"
"group_1034","","putative transporter","7","7","1","16","68","","","","1445","1445","1445","IABJFMEL_01657","FNKIIBCC_01774","KLCLGNMD_02132","LJFBHMDO_02076","FJKEEGCC_01847","LCKBFCAL_01701","GLGINFII_01729"
"scoA","","putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A","7","7","1","1","237","","","","746","746","746","IABJFMEL_03276","FNKIIBCC_03285","KLCLGNMD_03360","LJFBHMDO_03246","FJKEEGCC_03261","LCKBFCAL_03497","GLGINFII_03481"
"rpsQ","","30S ribosomal protein S17","7","7","1","3","44","","","","407","407","407","IABJFMEL_02873","FNKIIBCC_02886","KLCLGNMD_03091","LJFBHMDO_02962","FJKEEGCC_02990","LCKBFCAL_03207","GLGINFII_01677"
"group_1037","","Antitoxin VapB27","7","7","1","1","442","","","","236","236","236","IABJFMEL_03259","FNKIIBCC_01327","KLCLGNMD_01001","LJFBHMDO_01573","FJKEEGCC_01379","LCKBFCAL_00658","GLGINFII_00850"
"group_1038","","putative oxidoreductase","7","7","1","20","6","","","","707","707","707","IABJFMEL_01545","FNKIIBCC_01633","KLCLGNMD_01910","LJFBHMDO_01729","FJKEEGCC_01594","LCKBFCAL_02056","GLGINFII_02259"
"vapC2","","Ribonuclease VapC2","7","7","1","14","74","","","","425","425","425","IABJFMEL_02524","FNKIIBCC_02571","KLCLGNMD_02919","LJFBHMDO_02815","FJKEEGCC_02699","LCKBFCAL_03004","GLGINFII_03033"
"nanT","","Putative sialic acid transporter","7","7","1","5","100","","","","1298","1337","1303","IABJFMEL_01072","FNKIIBCC_03477","KLCLGNMD_03578","LJFBHMDO_03478","FJKEEGCC_00273","LCKBFCAL_03668","GLGINFII_03716"
"coaE","","Dephospho-CoA kinase","7","7","1","6","133","","","","1223","1223","1223","IABJFMEL_01012","FNKIIBCC_00942","KLCLGNMD_01284","LJFBHMDO_01238","FJKEEGCC_00959","LCKBFCAL_01208","GLGINFII_01951"
"nicC","","6-hydroxynicotinate 3-monooxygenase","7","7","1","24","32","","","","1166","1166","1166","IABJFMEL_01954","FNKIIBCC_02134","KLCLGNMD_02372","LJFBHMDO_02414","FJKEEGCC_02157","LCKBFCAL_02397","GLGINFII_02567"
"pntA","","NAD(P) transhydrogenase subunit alpha","7","7","1","1","610","","","","332","332","332","IABJFMEL_00130","FNKIIBCC_00146","KLCLGNMD_00073","LJFBHMDO_00128","FJKEEGCC_00035","LCKBFCAL_00462","GLGINFII_00035"
"lpqY","","Trehalose-binding lipoprotein LpqY","7","7","1","3","159","","","","1406","1406","1406","IABJFMEL_02229","FNKIIBCC_03076","KLCLGNMD_02648","LJFBHMDO_00669","FJKEEGCC_03105","LCKBFCAL_03340","GLGINFII_01637"
"ssb","","Single-stranded DNA-binding protein","7","7","1","11","94","","","","494","494","494","IABJFMEL_01865","FNKIIBCC_02834","KLCLGNMD_01782","LJFBHMDO_02333","FJKEEGCC_02913","LCKBFCAL_00935","GLGINFII_02131"
"rplS","","50S ribosomal protein L19","7","7","1","9","33","","","","341","341","341","IABJFMEL_02415","FNKIIBCC_02467","KLCLGNMD_02777","LJFBHMDO_00989","FJKEEGCC_01063","LCKBFCAL_02716","GLGINFII_02923"
"pheT","","Phenylalanine--tRNA ligase beta subunit","7","7","1","6","155","","","","2495","2495","2495","IABJFMEL_00992","FNKIIBCC_00963","KLCLGNMD_01263","LJFBHMDO_01258","FJKEEGCC_00980","LCKBFCAL_01187","GLGINFII_03642"
"gcvP","","putative glycine dehydrogenase (decarboxylating)","7","7","1","6","16","","","","2825","2825","2825","IABJFMEL_03178","FNKIIBCC_03183","KLCLGNMD_03812","LJFBHMDO_03038","FJKEEGCC_03409","LCKBFCAL_03304","GLGINFII_02884"
"group_1048","","hypothetical protein","7","7","1","36","21","","","","380","380","380","IABJFMEL_02932","FNKIIBCC_02943","KLCLGNMD_03135","LJFBHMDO_03014","FJKEEGCC_03034","LCKBFCAL_03284","GLGINFII_03344"
"pabB","","Aminodeoxychorismate synthase component 1","7","7","1","19","29","","","","1244","1244","1244","IABJFMEL_02147","FNKIIBCC_02296","KLCLGNMD_01579","LJFBHMDO_01286","FJKEEGCC_01145","LCKBFCAL_01788","GLGINFII_01867"
"group_105","","hypothetical protein","7","7","1","5","139","","","","458","476","470","IABJFMEL_01094","FNKIIBCC_01610","KLCLGNMD_02026","LJFBHMDO_01969","FJKEEGCC_00295","LCKBFCAL_02129","GLGINFII_02356"
"group_1050","","hypothetical protein","7","7","1","7","105","","","","1148","1148","1148","IABJFMEL_00249","FNKIIBCC_02733","KLCLGNMD_00861","LJFBHMDO_00357","FJKEEGCC_00418","LCKBFCAL_00398","GLGINFII_00710"
"lpqB","","Lipoprotein LpqB","7","7","1","2","98","","","","1751","1751","1751","IABJFMEL_00546","FNKIIBCC_01121","KLCLGNMD_01218","LJFBHMDO_00424","FJKEEGCC_01019","LCKBFCAL_01373","GLGINFII_01009"
"xylB","","Xylulose kinase","7","7","1","3","63","","","","1346","1346","1346","IABJFMEL_02854","FNKIIBCC_02905","KLCLGNMD_03072","LJFBHMDO_02981","FJKEEGCC_02971","LCKBFCAL_03188","GLGINFII_01658"
"group_1053","","PE family protein PE13","7","7","1","1","288","","","","305","305","305","IABJFMEL_01502","FNKIIBCC_01480","KLCLGNMD_01866","LJFBHMDO_01684","FJKEEGCC_01584","LCKBFCAL_02173","GLGINFII_01330"
"desA2","","Putative acyl-[acyl-carrier-protein] desaturase DesA2","7","7","1","23","5","","","","827","827","827","IABJFMEL_02102","FNKIIBCC_02253","KLCLGNMD_02590","LJFBHMDO_02536","FJKEEGCC_02284","LCKBFCAL_02606","GLGINFII_02734"
"group_1055","","hypothetical protein","7","7","1","6","64","","","","608","608","608","IABJFMEL_02070","FNKIIBCC_02067","KLCLGNMD_02497","LJFBHMDO_01159","FJKEEGCC_02263","LCKBFCAL_02533","GLGINFII_02661"
"lcfB_1","","Long-chain-fatty-acid--CoA ligase","7","7","1","1","126","","","","1682","1682","1682","IABJFMEL_03202","FNKIIBCC_03205","KLCLGNMD_00193","LJFBHMDO_00009","FJKEEGCC_00154","LCKBFCAL_02269","GLGINFII_00155"
"rlmN","","putative dual-specificity RNA methyltransferase RlmN","7","7","1","9","58","","","","1094","1094","1094","IABJFMEL_03038","FNKIIBCC_03026","KLCLGNMD_03188","LJFBHMDO_01015","FJKEEGCC_01089","LCKBFCAL_03219","GLGINFII_03296"
"group_1058","","hypothetical protein","7","7","1","19","13","","","","656","656","656","IABJFMEL_03226","FNKIIBCC_03229","KLCLGNMD_01562","LJFBHMDO_01269","FJKEEGCC_01128","LCKBFCAL_01805","GLGINFII_01850"
"tpx","","putative thiol peroxidase","7","7","1","36","13","","","","497","497","497","IABJFMEL_02940","FNKIIBCC_02951","KLCLGNMD_03143","LJFBHMDO_03006","FJKEEGCC_03026","LCKBFCAL_03276","GLGINFII_03336"
"modA","","Molybdate-binding protein","7","7","1","5","165","","","","746","785","768","IABJFMEL_01120","FNKIIBCC_01584","KLCLGNMD_02052","LJFBHMDO_01995","FJKEEGCC_00321","LCKBFCAL_02155","GLGINFII_02330"
"group_1060","","hypothetical protein","7","7","1","2","79","","","","227","227","227","IABJFMEL_00565","FNKIIBCC_01102","KLCLGNMD_01237","LJFBHMDO_00443","FJKEEGCC_01038","LCKBFCAL_01354","GLGINFII_00990"
"group_1061","","hypothetical protein","7","7","1","1","68","","","","302","302","302","IABJFMEL_00168","FNKIIBCC_00184","KLCLGNMD_00111","LJFBHMDO_00090","FJKEEGCC_00073","LCKBFCAL_00500","GLGINFII_00073"
"whiB5","","Transcriptional regulator WhiB5","7","7","1","11","24","","","","419","419","419","IABJFMEL_02626","FNKIIBCC_02554","KLCLGNMD_02889","LJFBHMDO_02729","FJKEEGCC_02682","LCKBFCAL_00968","GLGINFII_03080"
"group_1063","","hypothetical protein","7","7","1","15","3","","","","206","206","206","IABJFMEL_03137","FNKIIBCC_03167","KLCLGNMD_03299","LJFBHMDO_03177","FJKEEGCC_03209","LCKBFCAL_01253","GLGINFII_01460"
"yccF","","Inner membrane protein YccF","7","7","1","1","221","","","","389","389","389","IABJFMEL_02679","FNKIIBCC_04031","KLCLGNMD_00003","LJFBHMDO_01091","FJKEEGCC_02581","LCKBFCAL_02894","GLGINFII_02726"
"group_1065","","putative PPE family protein PPE36","7","7","1","42","12","","","","731","731","731","IABJFMEL_03364","FNKIIBCC_03969","KLCLGNMD_03483","LJFBHMDO_03400","FJKEEGCC_03443","LCKBFCAL_03567","GLGINFII_03607"
"group_1066","","hypothetical protein","7","7","1","1","429","","","","221","221","221","IABJFMEL_02043","FNKIIBCC_01314","KLCLGNMD_00988","LJFBHMDO_01586","FJKEEGCC_01392","LCKBFCAL_00645","GLGINFII_00837"
"group_1067","","hypothetical protein","7","7","1","47","13","","","","347","347","347","IABJFMEL_03487","FNKIIBCC_03524","KLCLGNMD_03617","LJFBHMDO_03527","FJKEEGCC_03503","LCKBFCAL_03698","GLGINFII_03741"
"glgE","","Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase","7","7","1","26","3","","","","2066","2066","2066","IABJFMEL_02317","FNKIIBCC_02338","KLCLGNMD_02314","LJFBHMDO_02576","FJKEEGCC_01961","LCKBFCAL_02393","GLGINFII_02518"
"group_1069","","Ribonuclease VapC24","7","7","1","1","155","","","","437","437","437","IABJFMEL_03028","FNKIIBCC_02153","KLCLGNMD_00164","LJFBHMDO_00038","FJKEEGCC_00125","LCKBFCAL_02298","GLGINFII_00126"
"cya_2","","Adenylate cyclase","7","7","1","5","15","","","","1646","2192","2036","IABJFMEL_01149","FNKIIBCC_01015","KLCLGNMD_01435","LJFBHMDO_03887","FJKEEGCC_03860","LCKBFCAL_02454","GLGINFII_01549"
"lprH","","Putative lipoprotein LprH","7","7","1","6","58","","","","629","629","629","IABJFMEL_02076","FNKIIBCC_02061","KLCLGNMD_02491","LJFBHMDO_01153","FJKEEGCC_02257","LCKBFCAL_02539","GLGINFII_02667"
"group_1071","","hypothetical protein","7","7","1","39","1","","","","281","281","281","IABJFMEL_03968","FNKIIBCC_03964","KLCLGNMD_03988","LJFBHMDO_03979","FJKEEGCC_03967","LCKBFCAL_03978","GLGINFII_03588"
"pimA","","Phosphatidyl-myo-inositol mannosyltransferase","7","7","1","41","22","","","","1136","1136","1136","IABJFMEL_03915","FNKIIBCC_03304","KLCLGNMD_03417","LJFBHMDO_03354","FJKEEGCC_03312","LCKBFCAL_03526","GLGINFII_03533"
"dnaJ2","","Chaperone protein DnaJ 2","7","7","1","28","38","","","","1148","1148","1148","IABJFMEL_01830","FNKIIBCC_01863","KLCLGNMD_02251","LJFBHMDO_02240","FJKEEGCC_01944","LCKBFCAL_02330","GLGINFII_02491"
"yfiY","","putative siderophore-binding lipoprotein YfiY","7","7","1","12","78","","","","983","983","983","IABJFMEL_00747","FNKIIBCC_00694","KLCLGNMD_01349","LJFBHMDO_00726","FJKEEGCC_00754","LCKBFCAL_01070","GLGINFII_01226"
"hrcA","","Heat-inducible transcription repressor HrcA","7","7","1","28","37","","","","1031","1031","1031","IABJFMEL_01829","FNKIIBCC_01864","KLCLGNMD_02250","LJFBHMDO_02241","FJKEEGCC_01943","LCKBFCAL_02329","GLGINFII_02492"
"sigF","","RNA polymerase sigma factor SigF","7","7","1","2","139","","","","722","722","722","IABJFMEL_00503","FNKIIBCC_01941","KLCLGNMD_01176","LJFBHMDO_03125","FJKEEGCC_02051","LCKBFCAL_01415","GLGINFII_01051"
"lppC_3","","Putative lipoprotein LppC","7","7","1","27","42","","","","530","530","530","IABJFMEL_02455","FNKIIBCC_03749","KLCLGNMD_03786","LJFBHMDO_03710","FJKEEGCC_03679","LCKBFCAL_03156","GLGINFII_03255"
"group_1078","","hypothetical protein","7","7","1","43","18","","","","146","146","146","IABJFMEL_03443","FNKIIBCC_03457","KLCLGNMD_03461","LJFBHMDO_03457","FJKEEGCC_03441","LCKBFCAL_03608","GLGINFII_03609"
"mmgC_6","","Acyl-CoA dehydrogenase","7","7","1","1","468","","","","1148","1148","1148","IABJFMEL_03633","FNKIIBCC_00003","KLCLGNMD_00663","LJFBHMDO_03569","FJKEEGCC_03536","LCKBFCAL_03445","GLGINFII_01202"
"group_108","","hypothetical protein","7","7","1","5","52","","","","653","674","671","IABJFMEL_01188","FNKIIBCC_00976","KLCLGNMD_01474","LJFBHMDO_01540","FJKEEGCC_00349","LCKBFCAL_03412","GLGINFII_01588"
"mraY","","Phospho-N-acetylmuramoyl-pentapeptide-transferase","7","7","1","27","25","","","","1079","1079","1079","IABJFMEL_02473","FNKIIBCC_03509","KLCLGNMD_03597","LJFBHMDO_03278","FJKEEGCC_03323","LCKBFCAL_03174","GLGINFII_03273"
"group_1081","","hypothetical protein","7","7","1","4","12","","","","500","500","500","IABJFMEL_03001","FNKIIBCC_02983","KLCLGNMD_03166","LJFBHMDO_03069","FJKEEGCC_03481","LCKBFCAL_00882","GLGINFII_00508"
"fprB","","putative ferredoxin/ferredoxin--NADP reductase","7","7","1","1","562","","","","1727","1727","1727","IABJFMEL_00840","FNKIIBCC_00098","KLCLGNMD_00568","LJFBHMDO_00814","FJKEEGCC_00600","LCKBFCAL_01163","GLGINFII_01107"
"dapb1","","Dipeptidyl aminopeptidase BI","7","7","1","21","17","","","","2159","2159","2159","IABJFMEL_01936","FNKIIBCC_02001","KLCLGNMD_02330","LJFBHMDO_02767","FJKEEGCC_02641","LCKBFCAL_02624","GLGINFII_02808"
"egtE","","putative hercynylcysteine sulfoxide lyase","7","7","1","7","112","","","","1172","1172","1172","IABJFMEL_00241","FNKIIBCC_02725","KLCLGNMD_00869","LJFBHMDO_00365","FJKEEGCC_00410","LCKBFCAL_00406","GLGINFII_00718"
"pknH_1","","Serine/threonine-protein kinase PknH","7","7","1","8","28","","","","1880","1880","1880","IABJFMEL_01618","FNKIIBCC_01704","KLCLGNMD_02093","LJFBHMDO_02033","FJKEEGCC_01776","LCKBFCAL_01453","GLGINFII_01487"
"mutY","","Adenine DNA glycosylase","7","7","1","17","2","","","","887","887","887","IABJFMEL_03854","FNKIIBCC_03863","KLCLGNMD_03929","LJFBHMDO_03840","FJKEEGCC_03825","LCKBFCAL_01504","GLGINFII_03916"
"group_1087","","hypothetical protein","7","7","1","8","122","","","","233","233","233","IABJFMEL_01347","FNKIIBCC_01240","KLCLGNMD_01701","LJFBHMDO_01336","FJKEEGCC_01296","LCKBFCAL_01968","GLGINFII_02050"
"group_1088","","Fluoroquinolones export permease protein","7","7","1","3","7","","","","758","758","758","IABJFMEL_03829","FNKIIBCC_01422","KLCLGNMD_01808","LJFBHMDO_00608","FJKEEGCC_01539","LCKBFCAL_01880","GLGINFII_02204"
"cwsA","","Cell wall synthesis protein CwsA","7","7","1","11","9","","","","437","437","437","IABJFMEL_02610","FNKIIBCC_02538","KLCLGNMD_02905","LJFBHMDO_02713","FJKEEGCC_02666","LCKBFCAL_00984","GLGINFII_03096"
"aspC_1","","Aspartate aminotransferase","7","7","1","17","59","","","","341","1166","1048","IABJFMEL_01213","FNKIIBCC_01041","KLCLGNMD_01499","LJFBHMDO_02398","FJKEEGCC_02088","LCKBFCAL_01528","GLGINFII_01788"
"hisE","","Phosphoribosyl-ATP pyrophosphatase","7","7","1","42","7","","","","281","281","281","IABJFMEL_03350","FNKIIBCC_03699","KLCLGNMD_03497","LJFBHMDO_03386","FJKEEGCC_03457","LCKBFCAL_03553","GLGINFII_03593"
"group_1091","","hypothetical protein","7","7","1","1","485","","","","2018","2018","2018","IABJFMEL_03749","FNKIIBCC_00020","KLCLGNMD_00646","LJFBHMDO_03880","FJKEEGCC_00522","LCKBFCAL_03462","GLGINFII_01185"
"group_1092","","hypothetical protein","7","7","1","30","2","","","","179","179","179","IABJFMEL_02516","FNKIIBCC_02525","KLCLGNMD_02835","LJFBHMDO_02668","FJKEEGCC_02576","LCKBFCAL_02856","GLGINFII_02992"
"mviN","","putative peptidoglycan biosynthesis protein MviN","7","7","1","25","13","","","","3554","3554","3554","IABJFMEL_01793","FNKIIBCC_02283","KLCLGNMD_02214","LJFBHMDO_02190","FJKEEGCC_02355","LCKBFCAL_02224","GLGINFII_02463"
"atpA","","ATP synthase subunit alpha","7","7","1","8","71","","","","1649","1649","1649","IABJFMEL_03130","FNKIIBCC_03118","KLCLGNMD_03346","LJFBHMDO_03183","FJKEEGCC_03161","LCKBFCAL_01497","GLGINFII_01531"
"bpoC_1","","Putative non-heme bromoperoxidase BpoC","7","7","1","20","3","","","","860","860","860","IABJFMEL_01542","FNKIIBCC_01630","KLCLGNMD_01907","LJFBHMDO_01726","FJKEEGCC_01591","LCKBFCAL_02059","GLGINFII_02262"
"pspA_2","","Phosphoserine phosphatase 1","7","7","1","8","121","","","","698","698","698","IABJFMEL_01346","FNKIIBCC_01239","KLCLGNMD_01700","LJFBHMDO_01335","FJKEEGCC_01297","LCKBFCAL_01967","GLGINFII_02049"
"tcrY_3","","putative sensor histidine kinase TcrY","7","7","1","21","51","","","","1457","1457","1457","IABJFMEL_01913","FNKIIBCC_02024","KLCLGNMD_02353","LJFBHMDO_02744","FJKEEGCC_02618","LCKBFCAL_02647","GLGINFII_02785"
"group_1098","","hypothetical protein","7","7","1","7","93","","","","443","443","443","IABJFMEL_00260","FNKIIBCC_00723","KLCLGNMD_00850","LJFBHMDO_00346","FJKEEGCC_00429","LCKBFCAL_00387","GLGINFII_00699"
"group_1099","","hypothetical protein","7","7","1","20","14","","","","959","959","959","IABJFMEL_01553","FNKIIBCC_01641","KLCLGNMD_01918","LJFBHMDO_01737","FJKEEGCC_01602","LCKBFCAL_02048","GLGINFII_02251"
